id,emi_bert
capwdd1,-0.0415213386625366
capxmnn,0.6747842533726095
capytci,0.28072780694143074
cardxeq,-0.3166675220312247
carmejt,0.391922463915998
carn1vp,0.3494173058745695
carniib,-0.038888213051681775
carr124,-0.32820484983660264
cars5ey,0.007440338691064969
caua41u,0.055388933591528494
cavul9q,0.23063436442775442
cax42e3,0.1302669850966952
cax8c9t,-0.028488912679805356
caxkau7,-0.45057892021684864
cay718u,-0.43833955406801794
cazr32q,0.18718802944408597
caz4i11,-0.142698120659408
cazti3e,0.20458140208630704
cb4wflr,-0.09552248026443377
cb5ruyi,-0.23544846673090702
cbbvcih,0.24432727348409558
cb5w8b5,0.2083528796615
cb64cch,0.6636886507621358
cb5i1l6,-0.7688558395656193
cb5ixg7,-0.683187448819733
cb6x6h9,0.27795411150344385
cb6vmy9,0.1968812155900066
cb6vowe,0.18929817147998773
cbat79z,-0.19803965178266203
cbdtnms,0.5881034618041736
cbc1oqb,0.4287461091172282
cbc0q5w,-0.21805495416975296
cbdxefm,0.15370339742234407
cbeq1ul,0.12502164978172667
cbf9rm7,-0.08570991842252695
cbfal22,0.3672777005699231
cbfawrh,0.06621763579211903
cbfg52g,0.19670254263959108
cbfgbmx,0.03786770412691487
cbglt1s,0.2935289470739211
cbhkto6,0.7504548432453034
cbhx57z,-0.21516218382817565
cbhwjkm,-0.4160755529897786
cbijuz9,0.23780589518949952
cbih4h2,0.2888152996268789
cbjlmqj,-0.017191777431414645
cbjd500,-0.16203508718598703
cbje3u6,0.09707189859648704
cbov4r9,-0.0661735730469486
cbp1vhn,0.13456023274796886
cbouwl2,0.5549102344808181
cbp96yd,0.3258996732309574
cbq7894,0.39919026088770193
cbr14x2,-0.09018953591636147
cbq63xv,-0.32237549591321757
cbq6ry8,-0.08823784606129692
cbq73uc,-0.33697260581369815
cbr30ed,-0.07275959382845393
cbslpvp,-0.3891529196014509
cbsmtm9,0.43383961775976454
cbtpd6f,-0.6104308079985894
cbtvqkw,-0.07041957414834626
cbxsrdu,0.14881282973661
cbyt3mu,-0.16331830399145986
cc0s8fn,-0.21933550500405763
cc0kgnw,-0.5300950732723896
cc0lhex,-0.2911502046232425
cc0opwf,0.07218921871753725
cc1b27j,-0.2766320771848475
cc1oiag,-0.13636241724673837
cc2vo9k,0.3179813894889613
cc35678,0.23547795162176155
cc30uy1,-0.3349786871625423
cc3d89c,0.4638777409862861
cc3ecpz,0.2610264898972387
cc5e7my,0.3105621015906729
cc5swnb,0.005380585017288997
cc8ssjr,0.06188645954395522
ccb10ag,0.9604521780285304
ccbg6fo,0.04789313866052802
ccbt7ee,0.4318641022658303
cceai50,-0.05646911488921358
cceokrm,0.13308786389630445
ccf6s4d,-0.2113061689830591
ccgjppx,-0.11198906907036338
ccgn0so,0.14987914178926465
ccjplew,-0.19031410723189413
ccjj1sl,0.2929523453860218
ccjnz5k,0.09236727166557651
ccjo3yu,-0.6067207313748191
cckced2,-0.20685526734349047
cclape5,0.3599032808148282
cco7g0p,-0.19824248870380567
cconhf7,0.37538586959699205
ccpdd2f,0.4408567008969464
ccpci7r,-0.12165004541440938
ccpddp4,0.005238471197447914
ccpdu7h,-0.058104974753741434
ccpea8n,-0.35134715895172686
ccpgs76,-0.536528565198982
ccphlrw,0.01933654751851588
ccpi47m,-0.386286655572394
ccpiy3z,-0.22181643229962544
ccpm6bp,0.03177382154288455
ccpoudb,0.605144589788623
ccqadap,-0.643499924600779
ccpezq8,-0.2381854186643415
ccpd4on,0.3640315815443187
cct3mhb,0.5789853114185921
ccuwlra,-0.9010306044299587
ccxbrzt,-0.08070944446649164
ccx04d0,0.16858781956717295
ccx4r34,-0.3727917289644652
cd1llje,-0.27750936807939963
cd1m53s,-0.27225972110604435
cd1of0u,0.046579194004660374
cd1vly4,-0.6087519345219542
cd20qxo,-0.22939816600424223
cd34v3t,0.08106454900445215
cd34ykt,-1.040090135709625
cd5b458,0.10570039197509917
cd8jv8z,0.02104148975907244
cdac0ae,0.21716344252928593
cdcxbmr,-0.0033644863720641016
cddgqf1,-0.0040211432441558115
cde7mr4,0.5767888187727181
cdep19z,0.005104325994595649
cdepios,0.009250510410480056
cdeq9yl,0.678479021969686
cdfhawv,0.09358427738467001
cdg5msx,-0.09134720749110048
cdgb8y5,-0.14694680539726868
cdixior,-0.15220255342999006
cdjpa94,-0.12232637890886144
cdmevfj,-0.041347907122822214
cdp68uy,0.3988022091016413
cdous9i,-0.03565314747031603
